keys,en,es,ca
APP_NAME,Moneytaur,Huchatauro,Dinertaure
DATADEFAULTS_CATEGORY_GROCERIES,Groceries,Compras de Casa,Compres de Casa
DATADEFAULTS_CATEGORY_TRANSPORTATION,Transportation,Transporte,Transport
DATADEFAULTS_CATEGORY_CHARITY,Charity,Donaciones,Donacions
DATADEFAULTS_CATEGORY_GAMING,Gaming,Juegos,Jocs
DATADEFAULTS_CATEGORY_OTHEREXPENSES,Other,Otros,Altres
DATADEFAULTS_CATEGORY_SALARY,Salary,Sueldo,Salari
DATADEFAULTS_CATEGORY_GIFTS,Gifts,Regalos,Regals
DATADEFAULTS_ACCOUNT_PERSONAL,Personal,Personal,Personal
MONTH_01,January,Enero,Gener
MONTH_02,February,Febrero,Febrer
MONTH_03,March,Marzo,Març
MONTH_04,April,Abril,Abril
MONTH_05,May,Mayo,Maig
MONTH_06,June,Junio,Juny
MONTH_07,July,Julio,Juliol
MONTH_08,August,Agosto,Agost
MONTH_09,September,Septiembre,Setembre
MONTH_10,October,Octubre,Octubre
MONTH_11,November,Noviembre,Novembre
MONTH_12,December,Diciembre,Desembre
CURRENT_MONTH_TITLE,Current Month,Mes Actual,Mes Actual
MONTH_INCOME,Income,Ganancias,Guanys
MONTH_EXPENSES,Expenses,Gastos,Despeses
ADD_TRANSACTION_TITLE,Add Transaction,Añadir Transacción,Afegir Transacció
NAME_EDIT_LABEL,Description,Descripción,Descripció
DATE_EDIT_LABEL,Date,Fecha,Data
SAVE_TRANSACTION,Save,Guardar,Desar
CATEGORY_HISTORY,History,Histórico,Històric
SEE_TRANSACTIONS,See Transactions,Ver Transacciones,Veure Transaccions
EDIT_CATEGORY,Edit Category,Editar Categoría,Editar Categoria
